Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
camera,Broad match,Paused,Enabled,Enabled,$0.29,5,3.94%
DMW-BLJ31,Broad match,Paused,Enabled,Enabled,$0.12,2,200.00%
digital camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
battery charger,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
battery pack,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
battery charger,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
digital camera,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
digital video camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
panasonic camera,Broad match,Paused,Enabled,Enabled,$0.00,0,0.00%
panasonic video camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
point and shoot,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
point and shoot camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
video camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
gold series,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
digital camera,Phrase match,Removed,Enabled,Enabled,$0.00,0,0.00%
digicam,Broad match,Paused,Enabled,Enabled,$0.00,0,0.00%
pocket camera,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
point and shoot,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
battery pack,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
compact camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
pocket camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
point shoot camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
compact camera,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
photo camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
gold series,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
photography cameras,Broad match,Removed,Enabled,Enabled,$0.00,0,0.00%
point and shoot camera,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
panasonic video camera,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
photo camera,Exact match,Removed,Enabled,Enabled,$0.00,0,0.00%
point shoot camera,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
canon point and shoot,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
photography camera,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
leica point and shoot,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
canon point and shoot,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
battery grip,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
shutter remote control,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
lumix digital cameras,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
battery grip,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
recording camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
panasonic microsd card,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
point and shoot film camera,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
shutter remote control,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
dmc-tz80,Broad match,Paused,Enabled,Enabled,$0.00,0,0.00%
dc coupler,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
dc coupler,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
leica point and shoot,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
lumix digital cameras,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
point and shoot film camera,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
lumix s,Broad match,Enabled,Enabled,Enabled,$0.00,0,0.00%
lumix s,Exact match,Enabled,Enabled,Enabled,$0.00,0,0.00%
